# Track con ALZADO de diseno (profile_editor):
# planta resuelta + rasantes y acuerdos parabolicos
# kappa_1pm,elev_m,kerb,peralte_rad,semiancho_m (seg 4.0 m)
0.014168,-11.72,1,0.0932,4.64
0.014649,-11.56,1,0.0985,4.62
0.014918,-11.40,1,0.1013,4.63
0.014770,-11.25,1,0.1027,4.64
0.014749,-11.09,1,0.1033,4.64
0.014722,-10.93,1,0.1033,4.63
0.014688,-10.77,1,0.1030,4.61
0.014814,-10.62,1,0.1030,4.57
0.014614,-10.46,1,0.1031,4.53
0.014648,-10.30,1,0.1036,4.50
0.014735,-10.15,1,0.1042,4.50
0.014875,-9.99,1,0.1045,4.50
0.015188,-9.83,1,0.1042,4.47
0.015307,-9.68,1,0.1026,4.44
0.015099,-9.54,1,0.0983,4.40
0.014351,-9.41,1,0.0905,4.38
0.012999,-9.31,1,0.0792,4.35
0.010526,-9.22,1,0.0649,4.36
0.007028,-9.14,1,0.0487,4.38
0.003866,-9.09,0,0.0319,4.41
0.001055,-9.05,0,0.0166,4.46
-0.001137,-9.02,0,0.0048,4.52
-0.002461,-8.99,0,0.0000,4.54
-0.002265,-8.96,0,-0.0046,4.55
-0.001246,-8.92,0,0.0000,4.56
0.000063,-8.89,0,0.0000,4.56
0.001343,-8.86,0,0.0000,4.57
0.002074,-8.83,0,0.0053,4.58
0.001867,-8.80,0,0.0053,4.59
0.001154,-8.77,0,0.0000,4.60
0.000088,-8.74,0,0.0000,4.60
-0.001306,-8.71,0,-0.0117,4.61
-0.003109,-8.68,0,-0.0209,4.62
-0.004484,-8.65,1,-0.0310,4.63
-0.005896,-8.61,1,-0.0417,4.64
-0.007352,-8.58,1,-0.0518,4.64
-0.008964,-8.53,1,-0.0606,4.66
-0.010580,-8.44,1,-0.0680,4.68
-0.011420,-8.31,1,-0.0737,4.69
-0.011876,-8.15,1,-0.0771,4.68
-0.011940,-7.96,1,-0.0782,4.67
-0.011615,-7.72,1,-0.0774,4.64
-0.010702,-7.49,1,-0.0757,4.61
-0.010115,-7.25,1,-0.0738,4.58
-0.009754,-7.02,1,-0.0725,4.58
-0.009651,-6.78,1,-0.0723,4.62
-0.010065,-6.55,1,-0.0736,4.66
-0.010621,-6.31,1,-0.0761,4.65
-0.011376,-6.07,1,-0.0792,4.62
-0.012055,-5.84,1,-0.0822,4.58
-0.012570,-5.60,1,-0.0845,4.53
-0.012882,-5.37,1,-0.0858,4.48
-0.012676,-5.13,1,-0.0858,4.51
-0.012329,-4.89,1,-0.0847,4.57
-0.011887,-4.66,1,-0.0826,4.59
-0.011409,-4.42,1,-0.0797,4.57
-0.010961,-4.19,1,-0.0766,4.56
-0.010407,-3.95,1,-0.0735,4.56
-0.010017,-3.71,1,-0.0700,4.56
-0.009626,-3.48,1,-0.0657,4.58
-0.009194,-3.24,1,-0.0607,4.60
-0.008351,-3.01,1,-0.0548,4.61
-0.007187,-2.77,1,-0.0477,4.62
-0.005925,-2.54,1,-0.0390,4.63
-0.004483,-2.30,1,-0.0295,4.62
-0.002895,-2.06,0,-0.0199,4.61
-0.000927,-1.83,0,-0.0108,4.60
0.000264,-1.59,0,0.0000,4.58
0.001205,-1.36,0,0.0054,4.57
0.001941,-1.12,0,0.0129,4.56
0.002525,-0.88,0,0.0207,4.55
0.003238,-0.65,0,0.0298,4.54
0.004680,-0.41,1,0.0406,4.53
0.006820,-0.18,1,0.0524,4.53
0.009358,0.06,1,0.0636,4.56
0.012042,0.30,1,0.0732,4.59
0.013723,0.53,1,0.0802,4.62
0.013703,0.77,1,0.0839,4.64
0.012895,1.00,1,0.0847,4.66
0.011662,1.24,1,0.0830,4.67
0.010564,1.47,1,0.0799,4.67
0.010110,1.71,1,0.0771,4.66
0.010343,1.94,1,0.0754,4.66
0.010631,2.15,1,0.0750,4.65
0.010901,2.34,1,0.0757,4.65
0.011221,2.52,1,0.0769,4.65
0.011234,2.67,1,0.0779,4.65
0.011277,2.81,1,0.0788,4.66
0.011311,2.93,1,0.0794,4.67
0.011342,3.03,1,0.0797,4.68
0.011483,3.11,1,0.0802,4.67
0.011496,3.18,1,0.0807,4.66
0.011593,3.23,1,0.0815,4.65
0.011696,3.25,1,0.0823,4.64
0.011805,3.27,1,0.0830,4.62
0.012105,3.26,1,0.0839,4.60
