# Trazado en planta EDITADO a mano (alignment_editor):
# rectas + circulos + clotoides; rasante conservada
# kappa_1pm,elev_m,kerb,peralte_rad (seg 4.0 m)
0.002405,-41.77,0,0.0168
0.002405,-42.26,0,0.0168
0.002405,-42.75,0,0.0168
0.002405,-43.23,0,0.0168
0.002405,-43.69,0,0.0168
0.002405,-44.15,0,0.0168
0.002405,-44.60,0,0.0160
0.002405,-45.05,0,0.0144
0.002359,-45.48,0,0.0121
0.001596,-45.90,0,0.0090
0.000833,-46.32,0,0.0051
0.000070,-46.73,0,0.0000
-0.000693,-47.13,0,-0.0049
-0.001456,-47.52,0,-0.0102
-0.002220,-47.90,0,-0.0155
-0.002983,-48.27,0,-0.0209
-0.003746,-48.64,0,-0.0262
-0.004509,-48.99,1,-0.0316
-0.005272,-49.34,1,-0.0369
-0.006036,-49.68,1,-0.0422
-0.006799,-50.00,1,-0.0471
-0.007562,-50.32,1,-0.0513
-0.008325,-50.64,1,-0.0546
-0.008639,-50.94,1,-0.0572
-0.008639,-51.23,1,-0.0591
-0.008639,-51.52,1,-0.0602
-0.008639,-51.80,1,-0.0605
-0.008639,-52.07,1,-0.0605
-0.008639,-52.33,1,-0.0605
-0.008639,-52.58,1,-0.0605
-0.008639,-52.82,1,-0.0605
-0.008639,-53.05,1,-0.0605
-0.008639,-53.28,1,-0.0602
-0.008639,-53.49,1,-0.0597
-0.008639,-53.70,1,-0.0588
-0.008409,-53.90,1,-0.0575
-0.008073,-54.09,1,-0.0560
-0.007736,-54.27,1,-0.0540
-0.007400,-54.45,1,-0.0518
-0.007063,-54.61,1,-0.0494
-0.006727,-54.77,1,-0.0471
-0.006390,-54.91,1,-0.0447
-0.006054,-55.05,1,-0.0424
-0.005718,-55.18,1,-0.0400
-0.005381,-55.30,1,-0.0377
-0.005045,-55.41,1,-0.0353
-0.004708,-55.52,1,-0.0330
-0.004372,-55.61,1,-0.0306
-0.004036,-55.70,1,-0.0282
-0.003699,-55.78,0,-0.0259
-0.003363,-55.85,0,-0.0235
-0.003026,-55.91,0,-0.0212
-0.002690,-55.96,0,-0.0188
-0.002353,-56.00,0,-0.0165
-0.002017,-56.03,0,-0.0141
-0.001681,-56.06,0,-0.0118
-0.001344,-56.08,0,-0.0094
-0.001008,-56.08,0,-0.0071
-0.000671,-56.08,0,-0.0050
-0.000335,-56.07,0,0.0000
0.000000,-56.06,0,0.0000
0.000000,-56.03,0,0.0000
0.000000,-55.99,0,0.0000
0.000000,-55.95,0,0.0000
0.000000,-55.90,0,0.0000
0.000000,-55.84,0,0.0000
0.000000,-55.77,0,0.0000
0.000000,-55.69,0,0.0000
0.000000,-55.60,0,0.0000
0.000000,-55.50,0,0.0000
0.000000,-55.40,0,0.0000
0.000000,-55.28,0,0.0000
0.000000,-55.16,0,0.0000
0.000000,-55.03,0,0.0000
0.000000,-54.89,0,0.0000
0.000000,-54.74,0,0.0000
0.000000,-54.59,0,0.0000
0.000000,-54.42,0,0.0000
0.000000,-54.25,0,0.0000
0.000000,-54.06,0,0.0000
0.000000,-53.87,0,0.0000
0.000000,-53.67,0,0.0000
0.000000,-53.46,0,0.0000
0.000000,-53.24,0,0.0000
0.000000,-53.02,0,0.0000
0.000000,-52.78,0,0.0000
0.000000,-52.54,0,0.0000
0.000000,-52.29,0,0.0000
0.000000,-52.03,0,0.0000
0.000000,-51.76,0,0.0000
0.000000,-51.48,0,0.0000
0.000000,-51.19,0,0.0000
0.000000,-50.89,0,0.0000
0.000000,-50.60,0,0.0000
0.000000,-50.31,0,0.0000
0.000000,-50.02,0,0.0000
0.000000,-49.74,0,0.0000
0.000000,-49.46,0,0.0000
0.000000,-49.18,0,0.0000
0.000000,-48.90,0,0.0000
0.000000,-48.63,0,0.0000
0.000000,-48.36,0,0.0000
0.000000,-48.09,0,0.0000
0.000000,-47.83,0,0.0000
0.000000,-47.57,0,0.0000
0.000000,-47.31,0,0.0000
0.000000,-47.05,0,0.0000
0.000000,-46.80,0,0.0000
0.000000,-46.55,0,0.0000
0.000000,-46.31,0,0.0000
